ensembl_id	ensembl_version	gene_symbol	gene_type	symbol_ambiguous	on_panel
ENSG00000163874	11	ZC3H12A	protein_coding	False	False
ENSG00000163875	16	MEAF6	protein_coding	False	False
ENSG00000163877	11	SNIP1	protein_coding	False	False
ENSG00000163879	11	DNALI1	protein_coding	False	False
ENSG00000163882	9	POLR2H	protein_coding	False	False
ENSG00000163884	4	KLF15	protein_coding	False	False
ENSG00000163885	12	CFAP100	protein_coding	False	False
ENSG00000163888	4	CAMK2N2	protein_coding	False	False
ENSG00000163898	10	LIPH	protein_coding	False	False
ENSG00000163900	11	TMEM41A	protein_coding	False	False
ENSG00000163902	12	RPN1	protein_coding	False	False
ENSG00000163904	13	SENP2	protein_coding	False	False
ENSG00000163909	8	HEYL	protein_coding	False	False
ENSG00000163913	12	IFT122	protein_coding	False	False
ENSG00000163914	5	RHO	protein_coding	False	False
ENSG00000163915	7	IGF2BP2-AS1	lncRNA	False	False
ENSG00000163918	11	RFC4	protein_coding	False	False
ENSG00000163923	10	RPL39L	protein_coding	False	False
ENSG00000163930	10	BAP1	protein_coding	False	False
ENSG00000163931	16	TKT	protein_coding	False	False
ENSG00000163932	15	PRKCD	protein_coding	False	False
ENSG00000163933	10	RFT1	protein_coding	False	False
ENSG00000163935	14	SFMBT1	protein_coding	False	False
ENSG00000163938	17	GNL3	protein_coding	False	False
ENSG00000163939	18	PBRM1	protein_coding	False	False
ENSG00000163945	19	UVSSA	protein_coding	False	False
ENSG00000163946	13	TASOR	protein_coding	False	False
ENSG00000163947	12	ARHGEF3	protein_coding	False	False
ENSG00000163950	13	SLBP	protein_coding	False	False
ENSG00000163956	13	LRPAP1	protein_coding	False	False
ENSG00000163958	14	ZDHHC19	protein_coding	False	False
ENSG00000163959	10	SLC51A	protein_coding	False	False
ENSG00000163960	12	UBXN7	protein_coding	False	False
ENSG00000163961	4	RNF168	protein_coding	False	False
ENSG00000163964	17	PIGX	protein_coding	False	False
ENSG00000163975	12	MELTF	protein_coding	False	False
ENSG00000163982	6	OTOP1	protein_coding	False	False
ENSG00000163993	7	S100P	protein_coding	False	False
ENSG00000163995	21	ABLIM2	protein_coding	False	False
ENSG00000164002	11	EXO5	protein_coding	False	False
ENSG00000164007	11	CLDN19	protein_coding	False	False
ENSG00000164008	16	C1orf50	protein_coding	False	False
ENSG00000164010	15	ERMAP	protein_coding	False	False
ENSG00000164011	18	ZNF691	protein_coding	False	False
ENSG00000164022	17	AIMP1	protein_coding	False	False
ENSG00000164023	14	SGMS2	protein_coding	False	False
ENSG00000164024	12	METAP1	protein_coding	False	False
ENSG00000164031	17	DNAJB14	protein_coding	False	False
ENSG00000164032	12	H2AZ1	protein_coding	False	False
ENSG00000164035	10	EMCN	protein_coding	False	False
ENSG00000164037	17	SLC9B1	protein_coding	False	False
ENSG00000164038	16	SLC9B2	protein_coding	False	False
ENSG00000164039	15	BDH2	protein_coding	False	False
ENSG00000164040	18	PGRMC2	protein_coding	False	False
ENSG00000164045	12	CDC25A	protein_coding	False	False
ENSG00000164047	6	CAMP	protein_coding	False	False
ENSG00000164048	14	ZNF589	protein_coding	False	False
ENSG00000164049	14	FBXW12	protein_coding	False	False
ENSG00000164050	13	PLXNB1	protein_coding	False	False
ENSG00000164051	14	CCDC51	protein_coding	False	False
ENSG00000164053	21	ATRIP	protein_coding	False	False
ENSG00000164054	15	SHISA5	protein_coding	False	False
ENSG00000164056	11	SPRY1	protein_coding	False	False
ENSG00000164061	5	BSN	protein_coding	False	False
ENSG00000164062	13	APEH	protein_coding	False	False
ENSG00000164066	13	INTU	protein_coding	False	False
ENSG00000164068	16	RNF123	protein_coding	False	False
ENSG00000164070	12	HSPA4L	protein_coding	False	False
ENSG00000164073	11	MFSD8	protein_coding	False	False
ENSG00000164074	15	ABHD18	protein_coding	False	False
ENSG00000164076	17	CAMKV	protein_coding	False	False
ENSG00000164077	14	MON1A	protein_coding	False	False
ENSG00000164078	13	MST1R	protein_coding	False	False
ENSG00000164080	13	RAD54L2	protein_coding	False	False
ENSG00000164081	13	TEX264	protein_coding	False	False
ENSG00000164082	15	GRM2	protein_coding	False	False
ENSG00000164086	10	DUSP7	protein_coding	False	False
ENSG00000164087	8	POC1A	protein_coding	False	False
ENSG00000164088	18	PPM1M	protein_coding	False	False
ENSG00000164089	9	ETNPPL	protein_coding	False	False
ENSG00000164091	12	WDR82	protein_coding	False	False
ENSG00000164093	17	PITX2	protein_coding	False	False
ENSG00000164096	13	C4orf3	protein_coding	False	False
ENSG00000164099	3	PRSS12	protein_coding	False	False
ENSG00000164100	9	NDST3	protein_coding	False	False
ENSG00000164104	12	HMGB2	protein_coding	False	False
ENSG00000164105	4	SAP30	protein_coding	False	False
ENSG00000164106	8	SCRG1	protein_coding	False	False
ENSG00000164107	9	HAND2	protein_coding	False	False
ENSG00000164109	14	MAD2L1	protein_coding	False	False
ENSG00000164111	15	ANXA5	protein_coding	False	False
ENSG00000164112	13	TMEM155	protein_coding	False	False
ENSG00000164113	11	ADAD1	protein_coding	False	False
ENSG00000164114	19	MAP9	protein_coding	False	False
ENSG00000164116	17	GUCY1A1	protein_coding	False	False
ENSG00000164117	14	FBXO8	protein_coding	False	False
ENSG00000164118	13	CEP44	protein_coding	False	False
ENSG00000164120	14	HPGD	protein_coding	False	False
ENSG00000164122	9	ASB5	protein_coding	False	False
ENSG00000164123	7	C4orf45	protein_coding	False	False
ENSG00000164124	11	TMEM144	protein_coding	False	False
ENSG00000164125	16	GASK1B	protein_coding	False	False
ENSG00000164128	7	NPY1R	protein_coding	False	False
ENSG00000164129	12	NPY5R	protein_coding	False	False
ENSG00000164134	13	NAA15	protein_coding	False	False
ENSG00000164136	17	IL15	protein_coding	False	False
ENSG00000164142	16	FAM160A1	protein_coding	False	False
ENSG00000164144	16	ARFIP1	protein_coding	False	False
ENSG00000164151	12	ICE1	protein_coding	False	False
ENSG00000164161	10	HHIP	protein_coding	False	False
ENSG00000164162	14	ANAPC10	protein_coding	False	False
ENSG00000164163	11	ABCE1	protein_coding	False	False
ENSG00000164164	17	OTUD4	protein_coding	False	False
ENSG00000164167	12	LSM6	protein_coding	False	False
ENSG00000164168	8	TMEM184C	protein_coding	False	False
ENSG00000164169	13	PRMT9	protein_coding	False	False
ENSG00000164171	11	ITGA2	protein_coding	False	False
ENSG00000164172	20	MOCS2	protein_coding	False	False
ENSG00000164175	15	SLC45A2	protein_coding	False	False
ENSG00000164176	13	EDIL3	protein_coding	False	False
ENSG00000164180	14	TMEM161B	protein_coding	False	False
ENSG00000164181	14	ELOVL7	protein_coding	False	False
ENSG00000164182	12	NDUFAF2	protein_coding	False	False
ENSG00000164185	6	ZNF474	protein_coding	False	False
ENSG00000164187	7	LMBRD2	protein_coding	False	False
ENSG00000164188	9	RANBP3L	protein_coding	False	False
ENSG00000164190	19	NIPBL	protein_coding	False	False
ENSG00000164197	12	RNF180	protein_coding	False	False
ENSG00000164199	18	ADGRV1	protein_coding	False	False
ENSG00000164209	17	SLC25A46	protein_coding	False	False
ENSG00000164211	13	STARD4	protein_coding	False	False
ENSG00000164219	10	PGGT1B	protein_coding	False	False
ENSG00000164220	7	F2RL2	protein_coding	False	False
ENSG00000164221	13	CCDC112	protein_coding	False	False
ENSG00000164236	12	ANKRD33B	protein_coding	False	False
ENSG00000164237	9	CMBL	protein_coding	False	False
ENSG00000164241	13	C5orf63	protein_coding	False	False
ENSG00000164244	21	PRRC1	protein_coding	False	False
ENSG00000164251	5	F2RL1	protein_coding	False	False
ENSG00000164252	13	AGGF1	protein_coding	False	False
ENSG00000164253	14	WDR41	protein_coding	False	False
ENSG00000164256	11	PRDM9	protein_coding	False	False
ENSG00000164258	12	NDUFS4	protein_coding	False	False
ENSG00000164265	9	SCGB3A2	protein_coding	False	False
ENSG00000164266	11	SPINK1	protein_coding	False	False
ENSG00000164270	18	HTR4	protein_coding	False	False
ENSG00000164283	13	ESM1	protein_coding	False	False
ENSG00000164284	15	GRPEL2	protein_coding	False	False
ENSG00000164287	13	CDC20B	protein_coding	False	False
ENSG00000164291	17	ARSK	protein_coding	False	False
ENSG00000164292	13	RHOBTB3	protein_coding	False	False
ENSG00000164294	14	GPX8	protein_coding	False	False
ENSG00000164296	7	TIGD6	protein_coding	False	False
ENSG00000164299	7	SPZ1	protein_coding	False	False
ENSG00000164300	17	SERINC5	protein_coding	False	False
ENSG00000164303	11	ENPP6	protein_coding	False	False
ENSG00000164304	16	CAGE1	protein_coding	False	False
ENSG00000164305	19	CASP3	protein_coding	False	False
ENSG00000164306	11	PRIMPOL	protein_coding	False	False
ENSG00000164307	13	ERAP1	protein_coding	False	False
ENSG00000164308	17	ERAP2	protein_coding	False	False
ENSG00000164309	15	CMYA5	protein_coding	False	False
ENSG00000164318	18	EGFLAM	protein_coding	False	False
ENSG00000164323	14	CFAP97	protein_coding	False	False
ENSG00000164325	8	TMEM174	protein_coding	False	False
ENSG00000164326	5	CARTPT	protein_coding	False	False
ENSG00000164327	13	RICTOR	protein_coding	False	False
ENSG00000164329	13	TENT2	protein_coding	False	False
ENSG00000164330	17	EBF1	protein_coding	False	False
ENSG00000164331	10	ANKRA2	protein_coding	False	False
ENSG00000164332	8	UBLCP1	protein_coding	False	False
ENSG00000164334	15	FAM170A	protein_coding	False	False
ENSG00000164338	10	UTP15	protein_coding	False	False
ENSG00000164342	13	TLR3	protein_coding	False	False
ENSG00000164344	16	KLKB1	protein_coding	False	False
ENSG00000164346	10	NSA2	protein_coding	False	False
ENSG00000164347	18	GFM2	protein_coding	False	False
ENSG00000164362	21	TERT	protein_coding	False	False
ENSG00000164363	10	SLC6A18	protein_coding	False	False
ENSG00000164366	4	CCDC127	protein_coding	False	False
ENSG00000164379	7	FOXQ1	protein_coding	False	False
ENSG00000164385	9	LINC01600	lncRNA	False	False
ENSG00000164393	8	ADGRF2	protein_coding	False	False
ENSG00000164398	15	ACSL6	protein_coding	False	False
ENSG00000164399	5	IL3	protein_coding	False	False
ENSG00000164400	6	CSF2	protein_coding	False	False
ENSG00000164402	14	SEPTIN8	protein_coding	False	False
ENSG00000164403	15	SHROOM1	protein_coding	False	False
ENSG00000164404	8	GDF9	protein_coding	False	False
ENSG00000164405	11	UQCRQ	protein_coding	False	False
ENSG00000164406	8	LEAP2	protein_coding	False	False
ENSG00000164411	12	GJB7	protein_coding	False	False
ENSG00000164414	18	SLC35A1	protein_coding	False	False
ENSG00000164418	21	GRIK2	protein_coding	False	False
ENSG00000164430	16	CGAS	protein_coding	False	False
ENSG00000164434	12	FABP7	protein_coding	False	False
ENSG00000164438	6	TLX3	protein_coding	False	False
ENSG00000164440	15	TXLNB	protein_coding	False	False
ENSG00000164442	10	CITED2	protein_coding	False	False
ENSG00000164451	13	CALHM4	protein_coding	False	False
ENSG00000164458	10	TBXT	protein_coding	False	False
ENSG00000164463	12	CREBRF	protein_coding	False	False
ENSG00000164465	19	DCBLD1	protein_coding	False	False
ENSG00000164466	13	SFXN1	protein_coding	False	False
ENSG00000164483	17	SAMD3	protein_coding	False	False
ENSG00000164484	12	TMEM200A	protein_coding	False	False
ENSG00000164485	15	IL22RA2	protein_coding	False	False
ENSG00000164488	12	DACT2	protein_coding	False	False
ENSG00000164494	12	PDSS2	protein_coding	False	False
ENSG00000164500	7	SPATA48	protein_coding	False	False
ENSG00000164506	14	STXBP5	protein_coding	False	False
ENSG00000164508	5	H2AC1	protein_coding	False	False
ENSG00000164509	15	IL31RA	protein_coding	False	False
ENSG00000164512	18	ANKRD55	protein_coding	False	False
ENSG00000164520	11	RAET1E	protein_coding	False	False
ENSG00000164530	15	PI16	protein_coding	False	False
ENSG00000164532	11	TBX20	protein_coding	False	False
ENSG00000164535	15	DAGLB	protein_coding	False	False
ENSG00000164542	13	KIAA0895	protein_coding	False	False
ENSG00000164543	7	STK17A	protein_coding	False	False
ENSG00000164548	11	TRA2A	protein_coding	False	False
ENSG00000164574	16	GALNT10	protein_coding	False	False
ENSG00000164576	12	SAP30L	protein_coding	False	False
ENSG00000164587	13	RPS14	protein_coding	False	False
ENSG00000164588	8	HCN1	protein_coding	False	False
ENSG00000164591	14	MYOZ3	protein_coding	False	False
ENSG00000164597	15	COG5	protein_coding	False	False
ENSG00000164600	7	NEUROD6	protein_coding	False	False
ENSG00000164603	12	BMT2	protein_coding	False	False
ENSG00000164604	13	GPR85	protein_coding	False	False
ENSG00000164609	10	SLU7	protein_coding	False	False
ENSG00000164610	9	RP9	protein_coding	False	False
ENSG00000164611	13	PTTG1	protein_coding	False	False
ENSG00000164615	6	CAMLG	protein_coding	False	False
ENSG00000164619	10	BMPER	protein_coding	False	False
ENSG00000164620	9	RELL2	protein_coding	False	False
ENSG00000164621	5	SMAD5-AS1	lncRNA	False	False
ENSG00000164626	9	KCNK5	protein_coding	False	False
ENSG00000164627	18	KIF6	protein_coding	False	False
ENSG00000164631	19	ZNF12	protein_coding	False	False
ENSG00000164638	10	SLC29A4	protein_coding	False	False
ENSG00000164645	3	TEX47	protein_coding	False	False
ENSG00000164647	9	STEAP1	protein_coding	False	False
ENSG00000164649	20	CDCA7L	protein_coding	False	False
ENSG00000164651	17	SP8	protein_coding	False	False
ENSG00000164654	16	MIOS	protein_coding	False	False
ENSG00000164659	15	ELAPOR2	protein_coding	False	False
ENSG00000164663	14	USP49	protein_coding	False	False
ENSG00000164674	16	SYTL3	protein_coding	False	False
ENSG00000164675	11	IQUB	protein_coding	False	False
ENSG00000164683	18	HEY1	protein_coding	False	False
ENSG00000164684	13	ZNF704	protein_coding	False	False
ENSG00000164687	11	FABP5	protein_coding	False	False
ENSG00000164690	8	SHH	protein_coding	False	False
ENSG00000164691	18	TAGAP	protein_coding	False	False
ENSG00000164692	18	COL1A2	protein_coding	False	False
ENSG00000164694	17	FNDC1	protein_coding	False	False
ENSG00000164695	5	CHMP4C	protein_coding	False	False
ENSG00000164707	15	SLC13A4	protein_coding	False	False
ENSG00000164708	6	PGAM2	protein_coding	False	False
ENSG00000164713	10	BRI3	protein_coding	False	False
ENSG00000164715	6	LMTK2	protein_coding	False	False
ENSG00000164729	7	SLC35G3	protein_coding	False	False
ENSG00000164733	22	CTSB	protein_coding	False	False
ENSG00000164736	6	SOX17	protein_coding	False	False
ENSG00000164741	15	DLC1	protein_coding	False	False
ENSG00000164742	16	ADCY1	protein_coding	False	False
ENSG00000164743	5	C8orf48	protein_coding	False	False
ENSG00000164744	13	SUN3	protein_coding	False	False
ENSG00000164746	14	C7orf57	protein_coding	False	False
ENSG00000164749	13	HNF4G	protein_coding	False	False
ENSG00000164751	15	PEX2	protein_coding	False	False
ENSG00000164754	15	RAD21	protein_coding	False	False
ENSG00000164756	12	SLC30A8	protein_coding	False	False
ENSG00000164758	7	MED30	protein_coding	False	False
ENSG00000164761	9	TNFRSF11B	protein_coding	False	False
ENSG00000164764	11	SBSPON	protein_coding	False	False
ENSG00000164776	10	PHKG1	protein_coding	False	False
ENSG00000164778	4	EN2	protein_coding	False	False
ENSG00000164794	9	KCNV1	protein_coding	False	False
ENSG00000164796	18	CSMD3	protein_coding	False	False
ENSG00000164808	17	SPIDR	protein_coding	False	False
ENSG00000164815	11	ORC5	protein_coding	False	False
ENSG00000164816	8	DEFA5	protein_coding	False	False
ENSG00000164818	16	DNAAF5	protein_coding	False	False
ENSG00000164821	5	DEFA4	protein_coding	False	False
ENSG00000164822	5	DEFA6	protein_coding	False	False
ENSG00000164823	11	OSGIN2	protein_coding	False	False
ENSG00000164825	4	DEFB1	protein_coding	False	False
ENSG00000164828	18	SUN1	protein_coding	False	False
ENSG00000164830	18	OXR1	protein_coding	False	False
ENSG00000164841	5	TMEM74	protein_coding	False	False
ENSG00000164849	10	GPR146	protein_coding	False	False
ENSG00000164850	15	GPER1	protein_coding	False	False
ENSG00000164853	9	UNCX	protein_coding	False	False
ENSG00000164855	16	TMEM184A	protein_coding	False	False
ENSG00000164867	11	NOS3	protein_coding	False	False
ENSG00000164871	17	SPAG11B	protein_coding	False	False
ENSG00000164877	19	MICALL2	protein_coding	False	False
ENSG00000164879	7	CA3	protein_coding	False	False
ENSG00000164880	16	INTS1	protein_coding	False	False
ENSG00000164885	13	CDK5	protein_coding	False	False
ENSG00000164889	15	SLC4A2	protein_coding	False	False
ENSG00000164893	9	SLC7A13	protein_coding	False	False
ENSG00000164896	20	FASTK	protein_coding	False	False
ENSG00000164897	14	TMUB1	protein_coding	False	False
ENSG00000164898	13	FMC1	protein_coding	False	False
ENSG00000164900	4	GBX1	protein_coding	False	False
ENSG00000164902	14	PHAX	protein_coding	False	False
ENSG00000164904	18	ALDH7A1	protein_coding	False	False
ENSG00000164916	11	FOXK1	protein_coding	False	False
ENSG00000164919	11	COX6C	protein_coding	False	False
ENSG00000164920	9	OSR2	protein_coding	False	False
ENSG00000164924	18	YWHAZ	protein_coding	False	False
ENSG00000164929	17	BAALC	protein_coding	False	False
ENSG00000164930	12	FZD6	protein_coding	False	False
ENSG00000164932	13	CTHRC1	protein_coding	False	False
ENSG00000164933	12	SLC25A32	protein_coding	False	False
ENSG00000164934	14	DCAF13	protein_coding	False	False
ENSG00000164935	6	DCSTAMP	protein_coding	False	False
ENSG00000164938	14	TP53INP1	protein_coding	False	False
ENSG00000164941	14	INTS8	protein_coding	False	False
ENSG00000164944	12	VIRMA	protein_coding	False	False
ENSG00000164946	20	FREM1	protein_coding	False	False
ENSG00000164949	8	GEM	protein_coding	False	False
ENSG00000164951	16	PDP1	protein_coding	False	False
ENSG00000164953	16	TMEM67	protein_coding	False	False
ENSG00000164961	16	WASHC5	protein_coding	False	False
ENSG00000164967	10	RPP25L	protein_coding	False	False
ENSG00000164970	15	FAM219A	protein_coding	False	False
ENSG00000164972	13	C9orf24	protein_coding	False	False
ENSG00000164975	15	SNAPC3	protein_coding	False	False
ENSG00000164976	9	MYORG	protein_coding	False	False
ENSG00000164978	18	NUDT2	protein_coding	False	False
ENSG00000164983	7	TMEM65	protein_coding	False	False
ENSG00000164985	15	PSIP1	protein_coding	False	False
ENSG00000164989	17	CCDC171	protein_coding	False	False
ENSG00000165006	14	UBAP1	protein_coding	False	False
ENSG00000165023	7	DIRAS2	protein_coding	False	False
ENSG00000165025	15	SYK	protein_coding	False	False
ENSG00000165028	12	NIPSNAP3B	protein_coding	False	False
ENSG00000165029	17	ABCA1	protein_coding	False	False
ENSG00000165030	4	NFIL3	protein_coding	False	False
ENSG00000165046	13	LETM2	protein_coding	False	False
ENSG00000165055	16	METTL2B	protein_coding	False	False
ENSG00000165059	8	PRKACG	protein_coding	False	False
ENSG00000165060	15	FXN	protein_coding	False	False
ENSG00000165061	15	ZMAT4	protein_coding	False	False
ENSG00000165066	13	NKX6-3	protein_coding	False	False
ENSG00000165071	15	TMEM71	protein_coding	False	False
ENSG00000165072	10	MAMDC2	protein_coding	False	False
ENSG00000165076	14	PRSS37	protein_coding	False	False
ENSG00000165078	13	CPA6	protein_coding	False	False
ENSG00000165084	16	C8orf34	protein_coding	False	False
ENSG00000165091	18	TMC1	protein_coding	False	False
ENSG00000165092	13	ALDH1A1	protein_coding	False	False
ENSG00000165097	16	KDM1B	protein_coding	False	False
ENSG00000165102	15	HGSNAT	protein_coding	False	False
ENSG00000165105	10	RASEF	protein_coding	False	False
ENSG00000165113	13	GKAP1	protein_coding	False	False
ENSG00000165115	15	KIF27	protein_coding	False	False
ENSG00000165118	15	C9orf64	protein_coding	False	False
ENSG00000165119	21	HNRNPK	protein_coding	False	False
ENSG00000165120	5	SSMEM1	protein_coding	False	False
ENSG00000165124	18	SVEP1	protein_coding	False	False
ENSG00000165125	22	TRPV6	protein_coding	False	False
ENSG00000165131	8	LLCFC1	protein_coding	False	False
ENSG00000165138	18	ANKS6	protein_coding	False	False
ENSG00000165140	11	FBP1	protein_coding	False	False
ENSG00000165152	9	PGAP4	protein_coding	False	False
ENSG00000165156	15	ZHX1	protein_coding	False	False
ENSG00000165164	14	CFAP47	protein_coding	False	False
ENSG00000165168	8	CYBB	protein_coding	False	False
ENSG00000165169	11	DYNLT3	protein_coding	False	False
ENSG00000165171	11	METTL27	protein_coding	False	False
ENSG00000165175	16	MID1IP1	protein_coding	False	False
ENSG00000165181	16	SHOC1	protein_coding	False	False
ENSG00000165182	12	CXorf58	protein_coding	False	False
ENSG00000165185	15	KIAA1958	protein_coding	False	False
ENSG00000165186	12	PTCHD1	protein_coding	False	False
ENSG00000165188	13	RNF183	protein_coding	False	False
ENSG00000165192	14	ASB11	protein_coding	False	False
ENSG00000165194	15	PCDH19	protein_coding	False	False
ENSG00000165195	16	PIGA	protein_coding	False	False
ENSG00000165197	5	VEGFD	protein_coding	False	False
ENSG00000165202	3	OR1Q1	protein_coding	False	False
ENSG00000165204	3	OR1K1	protein_coding	False	False
ENSG00000165209	19	STRBP	protein_coding	False	False
ENSG00000165215	6	CLDN3	protein_coding	False	False
ENSG00000165219	22	GAPVD1	protein_coding	False	False
ENSG00000165233	18	CARD19	protein_coding	False	False
ENSG00000165238	16	WNK2	protein_coding	False	False
ENSG00000165240	20	ATP7A	protein_coding	False	False
ENSG00000165244	7	ZNF367	protein_coding	False	False
ENSG00000165246	14	NLGN4Y	protein_coding	False	False
ENSG00000165259	14	HDX	protein_coding	False	False
ENSG00000165264	11	NDUFB6	protein_coding	False	False
ENSG00000165269	13	AQP7	protein_coding	False	False
ENSG00000165271	17	NOL6	protein_coding	False	False
ENSG00000165272	16	AQP3	protein_coding	False	False
ENSG00000165275	10	TRMT10B	protein_coding	False	False
ENSG00000165280	17	VCP	protein_coding	False	False
ENSG00000165282	14	PIGO	protein_coding	False	False
ENSG00000165283	16	STOML2	protein_coding	False	False
ENSG00000165288	11	BRWD3	protein_coding	False	False
ENSG00000165300	7	SLITRK5	protein_coding	False	False
ENSG00000165304	8	MELK	protein_coding	False	False
ENSG00000165309	14	ARMC3	protein_coding	False	False
ENSG00000165312	6	OTUD1	protein_coding	False	False
ENSG00000165322	18	ARHGAP12	protein_coding	False	False
ENSG00000165323	15	FAT3	protein_coding	False	False
ENSG00000165325	14	DEUP1	protein_coding	False	False
ENSG00000165338	17	HECTD2	protein_coding	False	False
ENSG00000165349	12	SLC7A3	protein_coding	False	False
ENSG00000165355	7	FBXO33	protein_coding	False	False
ENSG00000165359	16	INTS6L	protein_coding	False	False
ENSG00000165370	3	GPR101	protein_coding	False	False
ENSG00000165376	11	CLDN2	protein_coding	False	False
ENSG00000165379	13	LRFN5	protein_coding	False	False
ENSG00000165383	11	LRRC18	protein_coding	False	False
ENSG00000165389	7	SPTSSA	protein_coding	False	False
ENSG00000165392	11	WRN	protein_coding	False	False
ENSG00000165406	16	MARCHF8	protein_coding	False	False
ENSG00000165409	18	TSHR	protein_coding	False	False
ENSG00000165410	15	CFL2	protein_coding	False	False
ENSG00000165416	15	SUGT1	protein_coding	False	False
ENSG00000165417	12	GTF2A1	protein_coding	False	False
ENSG00000165424	7	ZCCHC24	protein_coding	False	False
ENSG00000165434	8	PGM2L1	protein_coding	False	False
ENSG00000165443	12	PHYHIPL	protein_coding	False	False
ENSG00000165449	11	SLC16A9	protein_coding	False	False
ENSG00000165457	14	FOLR2	protein_coding	False	False
ENSG00000165458	14	INPPL1	protein_coding	False	False
ENSG00000165462	5	PHOX2A	protein_coding	False	False
ENSG00000165471	7	MBL2	protein_coding	False	False
ENSG00000165474	8	GJB2	protein_coding	False	False
ENSG00000165475	15	CRYL1	protein_coding	False	False
ENSG00000165476	14	REEP3	protein_coding	False	False
ENSG00000165478	7	HEPACAM	protein_coding	False	False
ENSG00000165480	16	SKA3	protein_coding	False	False
ENSG00000165487	14	MICU2	protein_coding	False	False
ENSG00000165490	13	DDIAS	protein_coding	False	False
ENSG00000165494	11	PCF11	protein_coding	False	False
ENSG00000165495	16	PKNOX2	protein_coding	False	False
ENSG00000165496	5	RPL10L	protein_coding	False	False
ENSG00000165501	17	LRR1	protein_coding	False	False
ENSG00000165502	7	RPL36AL	protein_coding	False	False
ENSG00000165506	15	DNAAF2	protein_coding	False	False
ENSG00000165507	9	DEPP1	protein_coding	False	False
ENSG00000165509	13	MAGEC3	protein_coding	False	False
ENSG00000165511	6	ZNF22-AS1	lncRNA	False	False
ENSG00000165512	5	ZNF22	protein_coding	False	False
ENSG00000165516	11	KLHDC2	protein_coding	False	False
ENSG00000165521	15	EML5	protein_coding	False	False
ENSG00000165525	18	NEMF	protein_coding	False	False
ENSG00000165526	9	RPUSD4	protein_coding	False	False
ENSG00000165527	7	ARF6	protein_coding	False	False
ENSG00000165533	19	TTC8	protein_coding	False	False
ENSG00000165548	11	TMEM63C	protein_coding	False	False
ENSG00000165553	4	NGB	protein_coding	False	False
ENSG00000165555	9	NOXRED1	protein_coding	False	False
ENSG00000165556	10	CDX2	protein_coding	False	True
ENSG00000165566	12	AMER2	protein_coding	False	False
ENSG00000165568	18	AKR1E2	protein_coding	False	False
ENSG00000165572	8	KBTBD6	protein_coding	False	False
ENSG00000165583	15	SSX5	protein_coding	False	False
ENSG00000165584	16	SSX3	protein_coding	False	False
ENSG00000165588	18	OTX2	protein_coding	False	False
ENSG00000165591	6	FAAH2	protein_coding	False	False
ENSG00000165606	9	DRGX	protein_coding	False	False
ENSG00000165609	13	NUDT5	protein_coding	False	False
ENSG00000165617	15	DACT1	protein_coding	False	False
ENSG00000165621	8	OXGR1	protein_coding	False	False
ENSG00000165623	10	UCMA	protein_coding	False	False
ENSG00000165626	17	BEND7	protein_coding	False	False
ENSG00000165629	20	ATP5F1C	protein_coding	False	False
ENSG00000165630	14	PRPF18	protein_coding	False	False
ENSG00000165632	8	TAF3	protein_coding	False	False
ENSG00000165633	13	VSTM4	protein_coding	False	False
ENSG00000165637	13	VDAC2	protein_coding	False	False
ENSG00000165643	11	SOHLH1	protein_coding	False	False
ENSG00000165644	11	COMTD1	protein_coding	False	False
ENSG00000165646	14	SLC18A2	protein_coding	False	False
ENSG00000165650	12	PDZD8	protein_coding	False	False
ENSG00000165655	17	ZNF503	protein_coding	False	False
ENSG00000165660	8	ABRAXAS2	protein_coding	False	False
ENSG00000165661	17	QSOX2	protein_coding	False	False
ENSG00000165669	14	FAM204A	protein_coding	False	False
ENSG00000165671	21	NSD1	protein_coding	False	False
ENSG00000165672	7	PRDX3	protein_coding	False	False
ENSG00000165675	16	ENOX2	protein_coding	False	False
ENSG00000165678	21	GHITM	protein_coding	False	False
ENSG00000165682	14	CLEC1B	protein_coding	False	False
ENSG00000165684	4	SNAPC4	protein_coding	False	False
ENSG00000165685	8	TMEM52B	protein_coding	False	False
ENSG00000165688	12	PMPCA	protein_coding	False	False
ENSG00000165689	17	ENTR1	protein_coding	False	False
ENSG00000165694	10	FRMD7	protein_coding	False	False
ENSG00000165695	10	AK8	protein_coding	False	False
ENSG00000165698	16	SPACA9	protein_coding	False	False
ENSG00000165699	15	TSC1	protein_coding	False	False
ENSG00000165702	14	GFI1B	protein_coding	False	False
ENSG00000165704	15	HPRT1	protein_coding	False	False
ENSG00000165714	11	BORCS5	protein_coding	False	False
ENSG00000165716	11	DIPK1B	protein_coding	False	False
ENSG00000165724	6	ZMYND19	protein_coding	False	False
ENSG00000165730	16	STOX1	protein_coding	False	False
ENSG00000165731	20	RET	protein_coding	False	False
ENSG00000165732	13	DDX21	protein_coding	False	False
ENSG00000165733	8	BMS1	protein_coding	False	False
ENSG00000165752	17	STK32C	protein_coding	False	False
ENSG00000165757	9	JCAD	protein_coding	False	False
ENSG00000165762	3	OR4K2	protein_coding	False	False
ENSG00000165775	18	FUNDC2	protein_coding	False	False
ENSG00000165782	11	PIP4P1	protein_coding	False	False
ENSG00000165792	18	METTL17	protein_coding	False	False
ENSG00000165794	10	SLC39A2	protein_coding	False	False
ENSG00000165795	23	NDRG2	protein_coding	False	False
